
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555534714121 ;SC ;BRUSQUE ;LIMEIRA BAIXA ;ALAMEDA IDA WESTARB, N. 111, Apto 801, BLOCO 04 ;210.000,00;210.000,00;0.00;Apartamento, 0.00 de área total, 47.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534714121
 8555538363072 ;SC ;BRUSQUE ;LIMEIRA BAIXA ;AVENIDA ALAMEDA IDA WESTARB, N. 111, Apto 304, BLOCO 02 ;195.000,00;195.000,00;0.00;Apartamento, 0.00 de área total, 47.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538363072
 8444401964273 ;SC ;CAMBORIU ;SANTA REGINA ;RUA CABUL, N. 134, Apto 101, . ;164.400,00;274.000,00;40.00;Apartamento, 0.00 de área total, 60.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401964273
 8444416892249 ;SC ;CAMBORIU ;AREIAS ;R TOCANTINS, N. 672, Apto 402, . ;173.000,00;173.000,00;0.00;Apartamento, 0.00 de área total, 55.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416892249
 8787700532114 ;SC ;CAMBORIU ;AREIAS ;RUA AGENOR DE BORBA, N. 141, Apto 506, TORRE A ;274.000,00;274.000,00;0.00;Apartamento, 0.00 de área total, 44.74 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700532114
 8444420479601 ;SC ;CAMBORIU ;SANTA REGINA ;RUA HAVANA, N. 134, Apto 101, . ;290.000,00;290.000,00;0.00;Apartamento, 0.00 de área total, 54.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420479601
 8555519795183 ;SC ;CAMBORIU ;SANTA REGINA ;RUA PEQUIM, N. 1304, Apto 4, . ;256.000,00;256.000,00;0.00;Apartamento, 0.00 de área total, 59.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519795183
 8444414311613 ;SC ;CAMPOS NOVOS ;CENTRO ;RUA LEODIR CALCADO MEIRELES, N. 261, CASA 1 ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 50.17 de área privativa, 99.82 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414311613
 8444413442382 ;SC ;CAMPOS NOVOS ;CAMPOS NOVOS ;RUA  LEODIR CALCADO MEIRELES, N. 130, 01 ;151.866,41;140.000,00;0.00;Casa, 0.00 de área total, 50.02 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413442382
 8444419517635 ;SC ;CANELINHA ;CENTRO ;RUA  DOS PAPAGAIOS, N. 65, CS 02 ;118.820,00;182.800,00;35.00;Casa, 0.00 de área total, 60.05 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419517635
 8444420657291 ;SC ;CANELINHA ;BAIRRO COBRE ;RUA DOS CANARIOS, N. 125, CASA 01 ;210.000,00;210.000,00;0.00;Casa, 0.00 de área total, 56.19 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420657291
 10170797 ;SC ;CANOINHAS ;ALTO DAS PALMEIRAS ;RUA ANTONIO LILLER, LT 55, LOT PEDRO ALVES VIEIRA ;153.848,40;212.000,00;27.43;Terreno, 0.00 de área total, 0.00 de área privativa, 1581.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170797
 8787701451266 ;SC ;CHAPECO ;SANTA MARIA ;RUA EUCLIDES PRADE, N. 465E, Apto 807, BL C ;138.000,00;230.000,00;40.00;Apartamento, 0.00 de área total, 47.07 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701451266
 8787700168145 ;SC ;CHAPECO ;EFAPI ;RUA JULIAN BORTOLI DA SILVA, N. 10, Apto 304B, BL B ;195.000,00;195.000,00;0.00;Apartamento, 0.00 de área total, 47.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700168145
 8787704320120 ;SC ;CHAPECO ;EFAPI ;RUA ANGELO FRANCISCO GATTO, N. 490D, Apto 203A, BL A ;175.000,00;175.000,00;0.00;Apartamento, 0.00 de área total, 51.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704320120
 8787705397274 ;SC ;CHAPECO ;EFAPI ;RUA CUNHA PORA, N. 868 E, Apto 204, BL 02 ;227.000,00;227.000,00;0.00;Apartamento, 0.00 de área total, 48.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705397274
 8787705496477 ;SC ;CHAPECO ;EFAPI ;RUA CUNHA PORA, N. 868E, Apto 402, BL 02 VG 87 ;215.000,00;215.000,00;0.00;Apartamento, 0.00 de área total, 49.07 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705496477
 8787706950970 ;SC ;CHAPECO ;SANTO ANTONIO ;RUA IVETE MARIA CUNICO, N. 157D, Apto 802, . ;207.000,00;207.000,00;0.00;Apartamento, 0.00 de área total, 47.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706950970
 1444415026485 ;SC ;CHAPECO ;SANTA MARIA ;RUA JOAO PAULO I, N. 333E, Apto 205, . ;375.000,00;375.000,00;0.00;Apartamento, 0.00 de área total, 69.31 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415026485
 8787700734167 ;SC ;CHAPECO ;SANTA MARIA ;RUA EUCLIDES PRADE, N. 465E, Apto 403, BLOCO A ;220.000,00;220.000,00;0.00;Apartamento, 0.00 de área total, 47.07 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700734167
 8787701065234 ;SC ;CHAPECO ;PINHEIRINHO ;AVENIDA SAO PEDRO, N. 1665D, Apto 102, BL 07 ;190.000,00;190.000,00;0.00;Apartamento, 0.00 de área total, 49.50 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701065234
 8787700949821 ;SC ;CHAPECO ;AUTODROMO ;RUA JANICE APARECIDA SULZBACH, N. 98E, Apto 107, GARAGEM N 52 ;230.000,00;230.000,00;0.00;Apartamento, 0.00 de área total, 54.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700949821
 8444422442268 ;SC ;CONCORDIA ;NOVA BRASILIA ;RUA RAMOS DA CRUZ, N. 250 ;62.337,00;110.000,00;43.33;Casa, 30.00 de área total, 30.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422442268
 8444423679040 ;SC ;CONCORDIA ;VILA JACOB BIEZUS ;RUA LEONIDO JOSE MORETTO, N. 41,  LT 12 QD J ;97.800,00;163.000,00;40.00;Casa, 0.00 de área total, 38.73 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423679040
 8555526522685 ;SC ;CRICIUMA ;ANA MARIA ;RUA VERGINIO CONTI, N. 1085, Apto 405, BL 04 ;101.418,60;183.000,00;44.58;Apartamento, 0.00 de área total, 49.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526522685
 8555526898588 ;SC ;CRICIUMA ;ANA MARIA ;RUA VERGINIO CONTI, N. 1085, Apto 203, BL 05 ;74.817,00;135.000,00;44.58;Apartamento, 0.00 de área total, 42.11 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526898588
