
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787708308809 ;SP ;ARACATUBA ;CHACARAS DE RECREIO MONTEIRO ;RUA ANSELMO CANATO, N. 93, LT 13, QD K ;83.400,00;139.000,00;40.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708308809
 8787703947510 ;SP ;ARACATUBA ;SANTA LUZIA ;ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 404, BL 15 ;78.000,00;130.000,00;40.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703947510
 8787712101180 ;SP ;ARACATUBA ;CHACARAS TV ;RUA NOEL ROSA, N. 719, Apto 302, BL 05 ;97.745,56;139.000,00;29.68;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712101180
 8444427407819 ;SP ;ARACATUBA ;RESIDENCIAL JARDIM ATLANTICO ;RUA JOSE TREVISAN BACELAR, N. 346, LOTE 31 QUADRA 18 ;93.688,66;130.000,00;27.94;Casa, 0.00 de área total, 55.59 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427407819
 10171528 ;SP ;ARACATUBA ;VILA MENDONCA ;RUA SAO PAULO, N. 915 ;838.183,50;1.155.000,00;27.43;Casa, 0.00 de área total, 414.22 de área privativa, 422.34 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171528
 8787714016709 ;SP ;ARACATUBA ;CHACARAS TV ;RUA NOEL ROSA, N. 719, Apto 103, BL 03 ;110.667,61;146.000,00;24.21;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787714016709
 8444417407751 ;SP ;ARACATUBA ;ALVORADA ;RUA NOROESTE, N. 1167, LT 19 QD 67 ;123.189,27;150.000,00;17.88;Casa, 0.00 de área total, 63.75 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417407751
 8787705625897 ;SP ;ARACATUBA ;CJ HAB CLAUDIONOR ;TRAVESSA ERNESTO NAZARET, N. 70, Apto 104, BL 11 ;120.285,29;145.000,00;17.05;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705625897
 8787702521071 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 300, Apto 403, BL 12 ;111.891,24;134.000,00;16.50;Apartamento, 0.00 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702521071
 8787705594401 ;SP ;ARACATUBA ;MORADA DOS NOBRES ;TRAVESSA ERNESTO NAZARET, N. 70, Apto 102, BL 02 ;113.265,66;131.000,00;13.54;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705594401
 8787711774742 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1400, Apto 401, BL 02 ;127.145,33;147.000,00;13.51;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711774742
 8555526572844 ;SP ;ARACATUBA ;CONJ HAB DR ANTONIO ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 203, BL 04 VG 118 ;135.000,00;135.000,00;0.00;Apartamento, 0.00 de área total, 47.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526572844
 8787703437481 ;SP ;ARACATUBA ;AVIACAO ;ESTRADA  FAUSE CHADE, N. 471, Apto 301, BL 05 ;134.812,38;134.812,38;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703437481
