
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10170148 ;MS ;CAMPO GRANDE ;LOS ANGELES ;RUA CASSIM CONTAR, N. S/N, QD 73, LT 01 ;106.791,00;177.985,00;40.00;Casa, 0.00 de área total, 145.16 de área privativa, 455.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170148
 8444415727678 ;MS ;CAMPO GRANDE ;LOS ANGELES ;RUA ARTUR PIRES, N. 621, CASA 01 ;106.800,00;178.000,00;40.00;Casa, 0.00 de área total, 55.57 de área privativa, 113.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415727678
 8444421087839 ;MS ;CAMPO GRANDE ;VILA NOVA CAMPO GRANDE ;RUA 21, N. 1711, CASA 02 LT 05 QD 80 ;82.200,00;137.000,00;40.00;Casa, 0.00 de área total, 56.46 de área privativa, 201.45 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421087839
 8555501377215 ;MS ;CAMPO GRANDE ;CONJUNTO UNIAO II ;RUA DORIVAL DUSSEL, N. 178, QD 47 LT 15 ;216.000,00;360.000,00;40.00;Casa, 0.00 de área total, 78.84 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555501377215
 8444424114179 ;MS ;CAMPO GRANDE ;VILA SERRADINHO ;RUA DELMIRO GOUVEA, N. 102, LT 18, QD 23 ;98.400,00;164.000,00;40.00;Casa, 0.00 de área total, 46.90 de área privativa, 76.80 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424114179
 8444407069845 ;MS ;CAMPO GRANDE ;RESIDENCIAL JOANA D'ARC ;RUA BARRABAS, N. 962, LT 07 QD 03 ;98.400,00;164.000,00;40.00;Casa, 0.00 de área total, 76.40 de área privativa, 278.80 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407069845
 8444417244445 ;MS ;CAMPO GRANDE ;VILA FERNANDA ;RUA FRANCISCO ANTONIO DE SOUZA, N. 1223, CS 01 ;100.800,00;168.000,00;40.00;Casa, 0.00 de área total, 62.23 de área privativa, 132.14 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417244445
 8444407070061 ;MS ;CAMPO GRANDE ;GUANANDI II ;RUA CABEDELO, N. 43, UNIDADE 2 LT 15 QD 19 ;108.009,66;175.000,00;38.29;Casa, 0.00 de área total, 58.19 de área privativa, 140.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407070061
 8444409754103 ;MS ;CAMPO GRANDE ;PARQUE DO LAGEADO ;RUA ARMANDO FRANCO, N. 279, CS A LT 28 QD 48 ;134.488,01;215.000,00;37.45;Casa, 0.00 de área total, 86.83 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409754103
 8444416344284 ;MS ;CAMPO GRANDE ;JARDIM CENTENARIO ;RUA ITAITUBA, N. 94, Apto 304, BL E ;75.496,91;120.524,36;37.36;Apartamento, 0.00 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416344284
 8444419233211 ;MS ;CAMPO GRANDE ;JARDIM NOROESTE ;RUA ATIBAIA, N. 1008, CASA 02  38108 ;107.032,00;170.000,00;37.04;Casa, 63.52 de área total, 63.52 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419233211
 1444417440920 ;MS ;CAMPO GRANDE ;JARDIM SAO CONRADO ;RUA OURO PRETO, N. 588, Apto 203, BL A2 ETAPA 3 ;74.289,99;115.000,00;35.41;Apartamento, 48.12 de área total, 44.96 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417440920
 1787700059143 ;MS ;CAMPO GRANDE ;BAIRRO SEMINARIO ;AVENIDA PREFEITO HERACLITO JOSE DINIZ DE FIGUEIR, N. 815, Apto 403, BL 3 ;107.236,00;166.000,00;35.40;Apartamento, 0.00 de área total, 39.96 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700059143
 1444416538960 ;MS ;CAMPO GRANDE ;JARDIM MORENAO ;RUA CASCAIS, N. 185, Apto 11, COND RES BOTAFOGO L23Q3 ;82.042,00;127.000,00;35.40;Apartamento, 0.00 de área total, 40.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416538960
 1444405712777 ;MS ;CAMPO GRANDE ;JARDIM PAULISTA ;RUA  RAPOSO TAVARES, N. 415, LT 06 QD 06 ;583.984,00;904.000,00;35.40;Casa, 297.57 de área total, 297.57 de área privativa, 600.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, sacada, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405712777
 1444416786700 ;MS ;CAMPO GRANDE ;LOS ANGELES ;RUA ARTUR PIRES, N. 406, CS 2 ;99.484,00;154.000,00;35.40;Casa, 0.00 de área total, 52.67 de área privativa, 113.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416786700
 1444409169636 ;MS ;CAMPO GRANDE ;VILA BELO HORIZONTE ;RUA DONA THOMAZIA RONDON, N. 278, QD 08, LT 07 ;342.380,00;530.000,00;35.40;Casa, 0.00 de área total, 206.19 de área privativa, 480.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409169636
